Date,Time,Latitude,Longitude,Magnitude,Epicenter
2015-04-26,2:25 PM,27.79,86,4.0,Sindhupalchowk
2015-04-26,2:31 PM,27.97,85.81,4.0,Sindhupalchowk
2015-04-26,3:27 PM,27.77,85.91,4.0,Sindhupalchowk
2015-04-26,6:56 PM,27.89,85.6,5.0,Sindhupalchowk
2015-04-26,7:08 PM,27.68,85.95,4.0,Dolakha
2015-04-26,8:17 PM,27.79,85.15,4.0,Nuwakot
2015-04-26,8:29 PM,27.72,85.97,4.0,Sindhupalchowk
2015-04-26,8:42 PM,28.31,84.97,4.0,Gorkha
2015-04-26,9:47 PM,27.65,85.97,4.0,Dolakha
2015-04-26,10:08 PM,27.67,85.3,4.0,Kathmandu
2015-04-26,10:10 PM,27.95,85.87,5.0,Sindhupalchowk
2015-04-26,10:42 PM,27.83,86.06,4.0,Dolakha
2015-04-26,11:51 PM,27.91,85.55,4.0,Sindhupalchowk
2015-04-27,12:39 AM,28.26,85.1,4.0,Rasuwa
2015-04-27,3:37 AM,27.75,85.2,4.0,Kathmandu
2015-04-27,4:15 AM,27.56,85.73,4.0,Kavrepalanchowk
2015-04-27,4:17 AM,27.57,85.74,4.0,Kavrepalanchowk
2015-04-27,4:27 AM,27.82,85.76,4.0,Sindhupalchowk
2015-04-27,6:24 AM,27.77,85.12,4.0,Nuwakot
2015-04-27,8:18 AM,27.67,85.55,4.0,Kavrepalanchowk
2015-04-27,9:59 AM,28.24,85.23,4.0,Rasuwa
2015-04-27,10:05 AM,27.93,85.86,4.0,Sindhupalchowk
2015-04-27,3:17 PM,27.8,85.12,4.0,Nuwakot
2015-04-27,9:36 PM,27.67,85.29,4.0,Kathmandu
2015-04-27,10:39 PM,27.82,85.89,4.0,Sindhupalchowk
2015-04-27,11:30 PM,28.19,85.03,4.0,Dhading
2015-04-28,12:44 AM,28.29,84.93,4.0,Gorkha
2015-04-28,2:59 AM,27.92,85.51,4.0,Sindhupalchowk
2015-04-28,3:12 AM,27.89,85.76,4.0,Sindhupalchowk
2015-04-28,4:11 AM,28.1,84.65,4.0,Gorkha
2015-04-28,5:05 AM,28.1,85.49,4.0,Sindhupalchok
2015-04-28,7:45 AM,27.81,86.09,4.0,Dolakha
2015-04-28,8:40 AM,27.76,85.8,4.0,Sindhupalchowk
2015-04-28,12:08 PM,27.96,85.55,4.0,Sindhupalchowk
2015-04-28,3:10 PM,27.83,85.83,4.0,Sindhupalchowk
2015-04-28,4:44 PM,27.78,85.17,4.0,Nuwakot
2015-04-28,5:03 PM,27.88,85.88,4.0,Sindhupalchowk
2015-04-28,10:07 PM,28.2,84.78,4.0,Gorkha
2015-04-29,4:49 AM,27.93,85.63,4.0,Sindhupalchowk
2015-04-29,5:54 AM,27.79,85.14,4.0,Nuwakot
2015-04-29,1:17 PM,28.04,85.37,4.0,Nuwakot
2015-04-29,3:24 PM,27.86,84.89,4.0,Dhading
2015-04-29,5:12 PM,27.95,85.52,4.0,Sindhupalchowk
2015-04-29,11:01 PM,28.19,84.8,4.0,Gorkha
2015-04-30,6:22 AM,27.93,84.83,4.0,Dhading
2015-04-30,8:31 AM,28.05,85.34,4.0,Rasuwa
2015-04-30,1:29 PM,27.65,86.09,4.0,Dolakha
2015-04-30,11:19 PM,27.92,85.87,4.0,Sindhupalchowk
2015-05-01,12:58 AM,27.7,85.98,4.0,Dolakha
2015-05-01,2:56 AM,27.68,85.3,4.0,Kathmandu
2015-05-01,10:35 AM,27.75,85.95,4.0,Sindhupalchowk
2015-05-01,11:28 AM,28.04,85.33,4.0,Rasuwa
2015-05-01,5:37 PM,27.74,85.99,4.0,Dolakha
2015-05-01,8:27 PM,27.88,85.87,4.0,Sindhupalchowk
2015-05-01,11:59 PM,28.04,85.32,4.0,Rasuwa
2015-05-02,3:55 AM,27.95,85.73,4.0,Sindhupalchowk
2015-05-02,5:55 AM,27.74,86.28,4.0,Dolakha
2015-05-02,9:32 AM,27.93,85.5,4.0,Sindhupalchowk
2015-05-02,11:13 AM,27.72,85.74,4.0,Sindhupalchowk
2015-05-02,11:20 AM,28.24,84.76,5.0,Gorkha
2015-05-02,9:01 PM,27.66,86.01,4.0,Dolakha
2015-05-03,3:29 AM,27.69,85.93,4.0,Sindhupalchowk
2015-05-03,10:39 PM,28.05,84.94,4.0,Dhading
2015-05-03,5:47 AM,28.08,85.04,4.0,Gorkha
2015-05-03,8:00 AM,27.98,84.87,4.0,Dhading
2015-05-03,10:46 AM,27.94,84.83,4.0,Dhading
2015-05-03,5:20 PM,27.8,85.11,4.0,Nuwakot
2015-05-03,6:58 PM,27.89,85.73,4.0,Sindhupalchowk
2015-05-03,8:27 PM,28.09,85.72,4.0,Sindhupalchowk
2015-05-04,4:59 AM,27.75,85.87,4.0,Sindhupalchowk
2015-05-04,7:00 AM,27.69,85.99,4.0,Dolakha
2015-05-04,9:54 AM,27.97,85.21,4.0,Nuwakot
2015-05-04,10:33 AM,27.79,85.16,4.0,Nuwakot
2015-05-04,10:36 AM,27.8,85.16,4.0,Nuwakot
2015-05-04,2:34 PM,27.79,86.23,4.0,Dolakha
2015-05-04,3:40 PM,27.95,85.86,4.0,Sindhupalchowk
2015-05-04,1:17 PM,28.12,84.8,4.0,Gorkha
2015-05-04,6:02 PM,27.74,86,4.0,Dolakha
2015-05-05,6:39 AM,28.06,85.05,4.0,Dhading
2015-05-05,4:23 PM,27.74,86.03,4.0,Dolakha
2015-05-05,5:00 PM,27.96,86,4.0,Sindhupalchowk
2015-05-06,6:02 PM,28.01,84.68,4.0,Gorkha
2015-05-06,10:19 PM,28.04,85.26,4.0,Rasuwa
2015-05-07,3:41 AM,27.75,85.19,4.0,Nuwakot
2015-05-07,7:56 AM,27.79,85.16,4.0,Nuwakot
2015-05-07,10:15 PM,27.92,85.46,4.0,Nuwakot
2015-05-08,2:19 AM,27.94,85.58,4.0,Sindhupalchowk
2015-05-08,6:17 AM,27.69,86.04,5.0,Dolakha
2015-05-08,8:19 AM,27.75,85.91,4.0,Sindhupalchowk
2015-05-08,1:32 PM,27.77,85.88,4.0,Sindhupalchowk
2015-05-08,3:05 PM,28.01,85.41,4.0,Nuwakot
2015-05-09,3:08 AM,28.04,85.2,4.0,Rasuwa
2015-05-10,1:50 AM,28.04,85.96,4.0,Tibet
2015-05-10,6:34 AM,27.88,86,4.0,Sindhupalchowk
2015-05-10,2:44 AM,26.94,86.67,4.0,Udayapur
2015-05-10,11:08 AM,28.02,85.25,4.0,Rasuwa
2015-05-10,3:23 PM,27.65,85.56,4.0,kavre
2015-05-11,8:35 PM,27.99,85.86,4.0,Sindhupalchowk
2015-05-11,11:54 PM,27.91,85.75,4.0,Sindhupalchowk
2015-05-12,12:07 AM,28.1,84.91,4.0,Dhading
2015-05-12,2:08 AM,28.16,84.9,4.0,Gorkha
2015-05-12,07:05,27.82,86.12,6.9,Dolakha
2015-05-12,1:21 PM,27.73,86.21,6.0,Dolakha
2015-05-12,1:58 PM,27.8,85.83,5.0,Sindhupalchok
2015-05-12,2:44 PM,27.76,86.31,5.0,Dolakha
2015-05-12,1:02 PM,27.84,86.17,5.0,Dolakha
2015-05-12,1:28 PM,27.69,86.24,5.0,Dolakha
2015-05-12,1:33 PM,27.63,86.17,4.0,Dolakha
2015-05-12,1:46 PM,27.68,86.04,4.0,Dolakha
2015-05-12,1:51 PM,27.8,85.94,5.0,Sindhupalchok
2015-05-12,2:06 PM,27.66,86.17,5.0,Dolakha
2015-05-12,2:09 PM,27.79,86.11,5.0,Dolakha
2015-05-12,2:19 PM,27.88,85.94,4.0,Sindhupalchok
2015-05-12,2:20 PM,27.68,86.23,4.0,Dolakha
2015-05-12,2:24 PM,27.69,86.21,4.0,Dolakha
2015-05-12,2:47 PM,27.8,86.12,4.0,Dolakha
2015-05-12,3:14 PM,27.7,86.01,4.0,Dolakha
2015-05-12,3:29 PM,27.8,85.95,4.0,Sindhupalchok
2015-05-12,3:49 PM,27.68,86.03,4.0,Dolakha
2015-05-12,4:00 PM,27.57,86.29,4.0,Ramechhap
2015-05-12,4:16 PM,27.69,86.05,4.0,Dolakha
2015-05-12,4:20 PM,27.73,86.11,5.0,Dolakha
2015-05-12,4:26 PM,27.76,86.24,4.0,Dolakha
2015-05-12,4:51 PM,27.62,86.16,4.0,Dolakha
2015-05-12,5:06 PM,27.72,86.2,4.0,Dolakha
2015-05-12,5:43 PM,27.71,86,4.0,Dolakha
2015-05-12,6:13 PM,27.7,86.04,4.0,Dolakha
2015-05-12,6:53 PM,27.72,85.97,4.0,Dolakha
2015-05-12,7:28 PM,27.78,85.85,4.0,Sindhupalchok
2015-05-12,7:42 PM,27.84,86.23,4.0,Dolakha
2015-05-12,8:44 PM,28.03,86.36,4.0,Tibet
2015-05-12,9:13 PM,27.97,86.45,4.0,Tibet
2015-05-12,6:47 PM,27.89,85.88,4.0,Sindhupalchok
2015-05-12,10:17 PM,27.68,86.04,4.0,Dolakha
2015-05-12,11:13 PM,27.58,86.41,4.0,Ramechhap
2015-05-13,2:07 AM,27.68,85.3,4.0,Kathmandu
2015-05-13,3:10 AM,27.91,84.82,5.0,Dhading
2015-05-13,4:38 AM,27.82,86.47,4.0,Dolakha
2015-05-13,8:08 AM,27.65,86.18,4.0,Dolakha
2015-05-13,8:28 AM,27.75,86.25,4.0,Dolakha
2015-05-13,10:33 AM,27.79,86.19,4.0,Dolakha
2015-05-13,12:11 PM,27.69,86.11,4.0,Sindhupalchok
2015-05-13,12:22 PM,27.79,86.07,4.0,Dolakha
2015-05-13,12:34 PM,27.84,86.25,4.0,Dolakha
2015-05-13,12:38 PM,27.68,86.17,5.0,Dolakha
2015-05-13,2:30 PM,27.6,86.16,4.0,Dolakha
2015-05-13,3:37 PM,27.85,86.29,4.0,Dolakha
2015-05-13,3:42 AM,27.85,85.92,4.0,Sindhupalchok
2015-05-13,4:44 PM,27.63,86.17,4.0,Dolakha
2015-05-13,9:21 PM,27.64,85.7,4.0,Kavrepalanchok
2015-05-13,9:36 PM,27.7,86.15,4.0,Dolakha
2015-05-14,12:16 AM,27.92,86.31,4.0,Dolakha
2015-05-14,3:13 AM,27.66,86.07,4.0,Dolakha
